Brand Name,Generic Name,Drug Uses**
Amerge,Naratriptan HCl,"This medication is used to treat migraines. It helps to relieve headaches, pain and other symptoms of migraines, including sensitivity to light/sound, nausea, and vomiting. Prompt treatment allows you to get back to your normal routine and may decrease your need for other pain medications. Naratriptan does not prevent future migraines or reduce how often you may get a headache. Naratriptan belongs to a group of drugs called triptans. It affects a certain natural chemical (serotonin) that constricts blood vessels in the brain. It may also block other pain pathways in the brain. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amethia,L-Norgest/E.Estradiol-E.Estrad,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin (levonorgestrel) and an estrogen (ethinyl estradiol). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amethia Lo,L-Norgest/E.Estradiol-E.Estrad,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin (levonorgestrel) and an estrogen (ethinyl estradiol). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amethyst,Levonorgestrel/Ethin.Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: levonorgestrel (a progestin) and ethinyl estradiol (an estrogen). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amicar,Aminocaproic Acid,"This medication is used to help control bleeding due to a condition where your blood does not clot the way it normally should (fibrinolysis). This may cause serious bleeding after certain surgeries or in certain conditions (such as bleeding disorders, liver disease, cancer). Aminocaproic acid works by helping your blood clot normally. It belongs to a class of drugs known as antifibrinolytics. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amikacin Sulfate,Amikacin Sulfate,"This medication is used to prevent or treat a wide variety of bacterial infections. Amikacin belongs to a class of drugs known as aminoglycoside antibiotics. It works by stopping the growth of bacteria. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amiloride HCl,Amiloride HCl,"Amiloride is used with other ""water pills""/diuretics (such as furosemide, thiazide diuretics like hydrochlorothiazide) to treat high blood pressure (hypertension), heart failure, or extra fluid in the body (edema). Amiloride also helps to treat or prevent low blood potassium levels caused by the other diuretics. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Amiloride is called a ""water pill"" (diuretic) and causes your body to get rid of extra salt and water while also preventing the kidneys from getting rid of too much potassium. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,"This product is used to treat high blood pressure (hypertension), heart failure, or extra fluid in the body (edema). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains two medications: amiloride and hydrochlorothiazide. Both medications are ""water pills"" (diuretics) and cause your body to get rid of extra salt and water. This effect may increase the amount of urine you make when you first start the product. Amiloride also helps to treat or prevent low blood potassium levels. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Aminocaproic Acid*,Aminocaproic Acid,"This medication is used to help control bleeding due to a condition where your blood does not clot the way it normally should (fibrinolysis). This may cause serious bleeding after certain surgeries or in certain conditions (such as bleeding disorders, liver disease, cancer). Aminocaproic acid works by helping your blood clot normally. It belongs to a class of drugs known as antifibrinolytics. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Aminosyn II,Parenteral Amino Acid 15% No.2,Drug uses not available
Amiodarone HCl*,Amiodarone HCl,"This medication is used to treat certain types of serious (possibly fatal) irregular heartbeat (such as persistent ventricular fibrillation/tachycardia). It is used to restore normal heart rhythm and maintain a regular, steady heartbeat. Amiodarone is known as an anti-arrhythmic drug. It works by blocking certain electrical signals in the heart that can cause an irregular heartbeat. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amitiza,Lubiprostone,"This medication is used to treat certain types of constipation (chronic idiopathic constipation, irritable bowel syndrome with constipation). Chronic idiopathic constipation has an unknown cause and is not due to diet, other diseases, or drugs. Lubiprostone is also used to treat constipation caused by opioid medications in people with ongoing pain due to medical conditions other than cancer. This medication may improve symptoms such as bloating and abdominal discomfort, improve stool texture, lessen the need to strain, and decrease the feeling of not completely relieving oneself. Lubiprostone belongs to a class of drugs known as chloride channel activators. It works by increasing the amount of fluid within your intestines, making the passage of stool easier. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amitriptyline HCl,Amitriptyline HCl,"This medication is used to treat mental/mood problems such as depression. It may help improve mood and feelings of well-being, relieve anxiety and tension, help you sleep better, and increase your energy level. This medication belongs to a class of medications called tricyclic antidepressants. It works by affecting the balance of certain natural chemicals (neurotransmitters such as serotonin) in the brain. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amlodipine Besylate,Amlodipine Besylate,"Amlodipine is used with or without other medications to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Amlodipine belongs to a class of drugs known as calcium channel blockers. It works by relaxing blood vessels so blood can flow more easily. Amlodipine is also used to prevent certain types of chest pain (angina). It may help to increase your ability to exercise and decrease the frequency of angina attacks. It should not be used to treat attacks of chest pain when they occur. Use other medications (such as sublingual nitroglycerin) to relieve attacks of chest pain as directed by your doctor. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amlodipine Besylate-Benazepril,Amlodipine Besylate/Benazepril,"This product is a combination of two drugs: a calcium channel blocker (amlodipine) and an ACE inhibitor (benazepril). It is used to treat high blood pressure. It works by relaxing blood vessels so that blood can flow more easily. Lowering high blood pressure helps prevent strokes, heart attacks and kidney problems. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amlodipine-Atorvastatin,Amlodipine/Atorvastatin,"This product contains 2 medications: amlodipine and atorvastatin. Amlodipine is a calcium channel blocker and is used to treat high blood pressure or prevent chest pain (angina). It works by relaxing the blood vessels so that blood can flow more easily and the heart does not need to work so hard. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Preventing chest pain can help improve your ability to exercise. Atorvastatin is used along with a proper diet to help lower ""bad"" cholesterol and fats (such as LDL, triglycerides) and raise ""good"" cholesterol (HDL) in the blood. It belongs to a group of drugs known as ""statins."" It works by reducing the amount of cholesterol made by the liver. Lowering ""bad"" cholesterol and triglycerides and raising ""good"" cholesterol decreases the risk of heart disease and helps prevent strokes and heart attacks. In addition to eating a proper diet (such as a low-cholesterol/low-fat diet), other lifestyle changes that may help this medication work better include exercising, losing weight if overweight, and stopping smoking. Consult your doctor for more details. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amlodipine-Olmesartan,Amlodipine Bes/Olmesartan Med,"This product is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications: amlodipine and olmesartan. They both work by relaxing blood vessels so blood can flow more easily. Amlodipine is a calcium channel blocker and olmesartan is an angiotensin receptor blocker (ARB). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amlodipine-Valsartan,Amlodipine Besylate/Valsartan,"This product is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications: amlodipine and valsartan. They both work by relaxing blood vessels so blood can flow more easily. Amlodipine is a calcium channel blocker and valsartan is an angiotensin receptor blocker (ARB). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amlodipine-Valsartan-HCTZ,Amlodipine/Valsartan/HCThiazid,"This product is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 3 medications: amlodipine, valsartan, and hydrochlorothiazide. Amlodipine is a calcium channel blocker, and valsartan is an angiotensin receptor blocker (ARB). They both work by relaxing blood vessels so blood can flow more easily. Hydrochlorothiazide is called a ""water pill"" (diuretic) and causes your body to get rid of extra salt and water by making more urine. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ammonium Lactate,Ammonium Lactate,"This medication is used to treat dry, scaly skin conditions (e.g., xerosis, ichthyosis vulgaris) and can also help relieve itching from these conditions. This medication works by increasing the moisture in the skin. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amnesteem,Isotretinoin,"This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amoxapine,Amoxapine,"This medication is used to treat depression. Treating depression can improve your mood and sense of well-being and allow you to enjoy everyday life more. Amoxapine is a tricyclic antidepressant. It works by restoring the balance of natural chemicals (neurotransmitters) in the brain. Because amoxapine has some effects that are similar to those of major tranquilizers, it may work better in patients who have agitation or anxiety along with depression. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amoxicillin,Amoxicillin,"Amoxicillin is used to treat a wide variety of bacterial infections. This medication is a penicillin-type antibiotic. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. Amoxicillin is also used with other medications to treat stomach/intestinal ulcers caused by the bacteria H. pylori and to prevent the ulcers from returning. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amoxicillin-Clavulanate Pot ER,Amoxicillin/Potassium Clav,"Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav,"Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amphetamine Sulfate,Amphetamine Sulfate,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. This medication is also used to treat a certain sleeping disorder (narcolepsy) to help you stay awake during the day. It should not be used to treat tiredness or to hold off sleep in people who do not have a sleep disorder. Amphetamine may also be used along with a doctor-approved, reduced-calorie diet to help significantly overweight (obese) people lose weight. It should only be used for a short time (a few weeks) in people who have not lost enough weight with other treatments (such as dieting, other drugs, group programs). It may work by decreasing your appetite. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amphotericin B,Amphotericin B,"See also Warning section. This medication is used to treat a variety of serious, possibly fatal fungal infections. It works by stopping the growth of fungi. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ampicillin Sodium*,Ampicillin Sodium,"Ampicillin is used to treat a wide variety of bacterial infections. It is a penicillin-type antibiotic. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ampicillin Trihydrate,Ampicillin Trihydrate,"Ampicillin is used to treat a wide variety of bacterial infections. It is a penicillin-type antibiotic. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ampicillin-Sulbactam*,Ampicillin Sodium/Sulbactam Na,"This combination medication is used to treat a wide variety of bacterial infections. It is known as a penicillin-type antibiotic. It works by stopping the growth of bacteria. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ampyra,Dalfampridine,"Dalfampridine is used to improve walking in people with multiple sclerosis (MS). It is a potassium channel blocker. It is thought to work by improving nerve conduction. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Amrix,Cyclobenzaprine HCl,"Cyclobenzaprine is used short-term to treat muscle spasms. It is usually used along with rest and physical therapy. It works by helping to relax the muscles. This medication is not recommended for use in older adults because they may be at greater risk for side effects while using this drug. Ask the doctor or pharmacist for details. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Anadrol-50,Oxymetholone,"This medication is a synthetic male hormone (androgen or anabolic steroid) used to treat a low red blood cell count (anemia). It works by increasing the amount of the hormone (erythropoietin) involved in the production of red blood cells. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Anafranil,Clomipramine HCl,"Clomipramine is used to treat obsessive compulsive disorder (OCD). It helps decrease persistent/unwanted thoughts (obsessions), and it helps reduce the urge to perform repeated tasks (compulsions such as hand-washing, counting, checking) that interfere with daily living. This medication belongs to a class of medications called tricyclic antidepressants. It works by restoring the balance of certain natural substances (serotonin, among others) in the brain. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Anagrelide HCl,Anagrelide HCl,"Anagrelide is used to treat a certain blood disorder (thrombocythemia), which is caused by your bone marrow making too many platelets. Platelets are a blood cell that the body uses to form blood clots. Too many platelets can cause problems with your circulation, including unwanted blood clots and bleeding problems. This drug reduces the number of platelets in the bloodstream by blocking their production. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Analpram HC*,Hydrocortisone/Pramoxine,"This combination medication is used to treat minor pain, itching, swelling, and discomfort caused by hemorrhoids and other problems of the anal area (e.g., anal fissures, itching). This medication contains pramoxine, an anesthetic that works by temporarily numbing the area. This product also contains hydrocortisone, a corticosteroid that reduces redness, itching, and swelling. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Anaspaz,Hyoscyamine Sulfate,"Hyoscyamine is used to treat a variety of stomach/intestinal problems such as cramps and irritable bowel syndrome. It is also used to treat other conditions such as bladder and bowel control problems, cramping pain caused by kidney stones and gallstones, and Parkinson's disease. In addition, it is used to decrease side effects of certain medications (drugs used to treat myasthenia gravis) and insecticides. This medication works by decreasing acid production in the stomach, slowing down the natural movements of the gut, and relaxing muscles in many organs (such as the stomach, intestines, bladder, kidney, gallbladder). Hyoscyamine also lessens the amount of certain body fluids (e.g., saliva, sweat). This medication belongs to a class of drugs known as anticholinergics/antispasmodics. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Anastrozole,Anastrozole,"Anastrozole is used to treat breast cancer in women after menopause. Some breast cancers are made to grow faster by a natural hormone called estrogen. Anastrozole decreases the amount of estrogen the body makes and helps to slow or reverse the growth of these breast cancers. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ancobon,Flucytosine,"Flucytosine is used to treat serious fungal infections in the body. It belongs to a class of drugs known as antifungal drugs. It is often used with other medications. It works by slowing the growth of certain types of fungus. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Androderm,Testosterone,"This medicated patch contains testosterone. It is used for hormone replacement in men who are not able to produce enough testosterone (for example, due to hypogonadism). This medication is absorbed through the skin, enters your bloodstream, and helps your body reach normal testosterone levels. Testosterone helps the body to develop and maintain the male sexual characteristics (masculinity), such as a deep voice and body hair. It also helps to maintain muscle and prevent bone loss, and is necessary for natural sexual ability/desire. This drug should not be used by women. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Androgel,Testosterone,"This medicated gel contains testosterone. It is used for hormone replacement in men who are not able to produce enough testosterone (for example, due to hypogonadism). This medication is absorbed through the skin, enters your bloodstream, and helps your body reach normal testosterone levels. Testosterone helps the body to develop and maintain the male sexual characteristics (masculinity), such as a deep voice and body hair. It also helps to maintain muscle and prevent bone loss, and is necessary for natural sexual ability/desire. This drug should not be used by women. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Angeliq,Drospirenone/Estradiol,"This medication is used to reduce menopause symptoms. It helps reduce episodes of flushing and sweating of the upper body and face, commonly called hot flashes. It also helps treat dryness, itching, and burning around the vagina. These symptoms occur when a woman's body no longer makes the usual amount of female hormone (estrogen). This medication is a combination of 2 types of female hormones: an estrogen (estradiol) and a progestin (drospirenone). A progestin is added to estrogen replacement therapy to reduce the risk of cancer of the uterus. A woman who has had her uterus removed does not need progestin and should not be treated with this combination medication. If you need treatment only for vaginal menopause symptoms, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Anoro Ellipta,Umeclidinium Brm/Vilanterol Tr,"This product is used to control and prevent symptoms (such as wheezing and shortness of breath) caused by ongoing lung disease (chronic obstructive pulmonary disease-COPD, which includes chronic bronchitis and emphysema). Controlling symptoms of breathing problems helps you stay active. This inhaler contains 2 medications: umeclidinium and vilanterol. Both drugs work by relaxing the muscles around the airways so that they open up and you can breathe more easily. Umeclidinium belongs to a class of drugs known as anticholinergics. Vilanterol belongs to the class of drugs known as long-acting beta agonists (LABAs). Both drugs are also known as bronchodilators. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden shortness of breath. If sudden breathing problems occur, use your quick-relief inhaler as prescribed. Umeclidinium/vilanterol is not approved to treat asthma. People with asthma using long-acting inhaled beta agonists (such as vilanterol) without also using an inhaled corticosteroid may have an increased risk of serious (sometimes fatal) breathing problems. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Antabuse,Disulfiram,"This medication is used along with counseling and support to treat alcoholism. Disulfiram works by blocking the processing of alcohol in the body. This causes you to have a bad reaction when you drink alcohol. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Antara,"Fenofibrate,Micronized","Fenofibrate is used along with a proper diet to help lower ""bad"" cholesterol and fats (such as LDL, triglycerides) and raise ""good"" cholesterol (HDL) in the blood. It works by increasing the natural substance (enzyme) that breaks down fats in the blood. Fenofibrate belongs to a group of drugs known as ""fibrates."" Lowering triglycerides in people with very high triglyceride blood levels may decrease the risk of pancreas disease (pancreatitis). However, fenofibrate might not lower your risk of a heart attack or stroke. Talk to your doctor about the risks and benefits of fenofibrate. In addition to eating a proper diet (such as a low-cholesterol/low-fat diet), other lifestyle changes that may help this medication work better include exercising, losing weight if overweight, and stopping smoking. Consult your doctor for more details. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Anucort-HC,Hydrocortisone Acetate,"This medication is used to treat hemorrhoids and itching/swelling in the rectum and anus. It is also used with other medications to treat certain intestinal problems (such as ulcerative colitis of the rectum and other rectal/anal inflammatory conditions). Hydrocortisone suppositories help to relieve rectal pain, itching, bloody diarrhea, and bleeding by reducing swelling (inflammation) directly in the rectum and anus. Hydrocortisone belongs to a class of drugs called corticosteroids. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Anusol-HC,Hydrocortisone,"This medication is used to treat minor pain, itching, swelling, and discomfort caused by hemorrhoids and other problems of the anal area (e.g., anal fissures, itching). Hydrocortisone is a corticosteroid that reduces redness, itching, and swelling. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Apexicon E,Diflorasone Diacetate/Emoll,Drug uses not available
Apidra,Insulin Glulisine,"Insulin glulisine is used with a proper diet and exercise program to control high blood sugar in people with diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Insulin glulisine is a man-made product that is similar to human insulin. It replaces the insulin that your body would normally make. Insulin glulisine starts working faster and lasts for a shorter time than regular insulin. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication is usually used with a medium- or long-acting insulin product. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
